tweet_id,timestamp,source,text,rating_numerator,rating_denominator,name,dog_stage,expanded_link_1,expanded_link_2,favorite_count,retweet_count,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
892420643555336193,2017-08-01 09:23:56-07:00,Twitter for iPhone,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut.  ,13,10,Phineas,,https://twitter.com/dog_rates/status/892420643555336193/photo/1,,37844,8255,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,1,Orange,0.0970486,False,Bagel,0.08585110000000001,False,Banana,0.07611,False
892177421306343426,2017-07-31 17:17:27-07:00,Twitter for iPhone,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit.  ",13,10,Tilly,,https://twitter.com/dog_rates/status/892177421306343426/photo/1,,32518,6097,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581,True,Pekinese,0.0906465,True,Papillon,0.0689569,True
891815181378084864,2017-07-30 17:18:03-07:00,Twitter for iPhone,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.  ,12,10,Archie,,https://twitter.com/dog_rates/status/891815181378084864/photo/1,,24480,4038,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True
891689557279858688,2017-07-30 08:58:51-07:00,Twitter for iPhone,This is Darla. She commenced a snooze mid meal.  happens to the best of us ,13,10,Darla,,https://twitter.com/dog_rates/status/891689557279858688/photo/1,,41195,8405,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper towel,0.17027799999999998,False,Labrador retriever,0.168086,True,Spatula,0.0408359,False
891327558926688256,2017-07-29 09:00:24-07:00,Twitter for iPhone,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such.  #BarkWeek ",12,10,Franklin,,https://twitter.com/dog_rates/status/891327558926688256/photo/1,,39373,9104,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English springer,0.22577,True,German short-haired pointer,0.175219,True
891087950875897856,2017-07-28 17:08:17-07:00,Twitter for iPhone,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking.  (IG: tucker_marlo) #BarkWeek ,13,10,,,https://twitter.com/dog_rates/status/891087950875897856/photo/1,,19794,3023,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake bay retriever,0.425595,True,Irish terrier,0.116317,True,Indian elephant,0.07690219999999999,False
890971913173991426,2017-07-28 09:27:12-07:00,Twitter for iPhone,Meet Jax. He enjoys ice cream so much he gets nervous around it.  help Jax enjoy more things by clicking below,13,10,Jax,,https://gofundme.com/ydvmve-surgery-for-jax,https://twitter.com/dog_rates/status/890971913173991426/photo/1,11570,1998,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.34170300000000003,True,Border collie,0.199287,True,Ice lolly,0.193548,False
890729181411237888,2017-07-27 17:22:40-07:00,Twitter for iPhone,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy.  ,13,10,,,https://twitter.com/dog_rates/status/890729181411237888/photo/1,,63847,18334,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo dog,0.17840599999999998,True,Pembroke,0.0765069,True
890609185150312448,2017-07-27 09:25:51-07:00,Twitter for iPhone,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet.  #BarkWeek ,13,10,Zoey,,https://twitter.com/dog_rates/status/890609185150312448/photo/1,,27202,4152,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish terrier,0.487574,True,Irish setter,0.193054,True,Chesapeake bay retriever,0.118184,True
890240255349198849,2017-07-26 08:59:51-07:00,Twitter for iPhone,This is Cassie. She is a college pup. Studying international doggo communication and stick theory.  so elegant much sophisticate ,14,10,Cassie,doggo,https://twitter.com/dog_rates/status/890240255349198849/photo/1,,31190,7168,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319,True,Cardigan,0.451038,True,Chihuahua,0.0292482,True
890006608113172480,2017-07-25 17:31:25-07:00,Twitter for iPhone,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic.  would risk a petting #BarkWeek ,13,10,Koda,,https://twitter.com/dog_rates/status/890006608113172480/photo/1,,29977,7124,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True
889880896479866881,2017-07-25 09:11:53-07:00,Twitter for iPhone,This is Bruno. He is a service shark. Only gets out of the water to assist you.  terrifyingly good boy ,13,10,Bruno,,https://twitter.com/dog_rates/status/889880896479866881/photo/1,,27192,4835,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,1,French bulldog,0.377417,True,Labrador retriever,0.151317,True,Muzzle,0.0829811,False
889665388333682689,2017-07-24 18:55:32-07:00,Twitter for iPhone,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her.  ,13,10,,puppo,https://twitter.com/dog_rates/status/889665388333682689/photo/1,,47029,9757,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,1,Pembroke,0.966327,True,Cardigan,0.0273557,True,Basenji,0.00463323,True
889638837579907072,2017-07-24 17:10:02-07:00,Twitter for iPhone,This is Ted. He does his best. Sometimes that's not enough. But it's ok.  would assist ,12,10,Ted,,https://twitter.com/dog_rates/status/889638837579907072/photo/1,,26524,4400,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire bullterrier,0.00149818,True
889531135344209921,2017-07-24 10:02:04-07:00,Twitter for iPhone,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only.  puppared puppo #BarkWeek ,13,10,Stuart,puppo,https://twitter.com/dog_rates/status/889531135344209921/photo/1,,14778,2187,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,1,Golden retriever,0.953442,True,Labrador retriever,0.0138341,True,Redbone,0.00795775,True
889278841981685760,2017-07-23 17:19:32-07:00,Twitter for iPhone,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim.  fr*ckin frightening #BarkWeek ,13,10,Oliver,,https://twitter.com/dog_rates/status/889278841981685760/video/1,,24664,5212,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True
